"lokasi.formasi","nama.prodi","no.ujian","hasil.akhir"
"Provinsi Sulawesi Barat","D-III Statistika","7307137","LULUS"
"Provinsi Sulawesi Barat","D-III Statistika","7600072","LULUS"
"Provinsi Sulawesi Barat","D-III Statistika","7600232","LULUS"
"Provinsi Sulawesi Barat","D-IV Komputasi Statistik","3206823","LULUS"
"Provinsi Sulawesi Barat","D-IV Statistika","2100889","LULUS"
"Provinsi Sulawesi Barat","D-IV Statistika","7600179","LULUS"
"Provinsi Maluku","D-IV Komputasi Statistik","1305771","LULUS"
"Provinsi Maluku","D-IV Komputasi Statistik","3201826","LULUS"
"Provinsi Maluku","D-IV Komputasi Statistik","3305878","LULUS"
"Provinsi Maluku","D-IV Komputasi Statistik","3308989","LULUS"
"Provinsi Maluku","D-IV Komputasi Statistik","3524934","LULUS"
"Provinsi Maluku","D-IV Komputasi Statistik","8100045","LULUS"
"Provinsi Maluku","D-IV Statistika","1308763","LULUS"
"Provinsi Maluku","D-IV Statistika","1802845","LULUS"
"Provinsi Maluku","D-IV Statistika","1803802","LULUS"
"Provinsi Maluku","D-IV Statistika","1804234","LULUS"
"Provinsi Maluku","D-IV Statistika","3514649","LULUS"
"Provinsi Maluku Utara","D-III Statistika","1205370","LULUS"
"Provinsi Maluku Utara","D-IV Komputasi Statistik","1804797","LULUS"
"Provinsi Maluku Utara","D-IV Komputasi Statistik","3514142","LULUS"
"Provinsi Maluku Utara","D-IV Statistika","1103133","LULUS"
"Provinsi Maluku Utara","D-IV Statistika","3506550","LULUS"
"Provinsi Maluku Utara","D-IV Statistika","3521973","LULUS"
"Provinsi Maluku Utara","D-IV Statistika","5202018","LULUS"
"Provinsi Maluku Utara","D-IV Statistika","9200490","LULUS"
"Provinsi Papua Barat","D-IV Komputasi Statistik","3305845","LULUS"
"Provinsi Papua","D-IV Komputasi Statistik","1104143","LULUS"
"Provinsi Papua","D-IV Komputasi Statistik","3308813","LULUS"
"Provinsi Papua","D-IV Komputasi Statistik","9100569","LULUS"
"Provinsi Papua","D-IV Statistika","1203338","LULUS"
"Provinsi Papua","D-IV Statistika","1224487","LULUS"
"Provinsi Papua","D-IV Statistika","1802007","LULUS"
"Provinsi Papua","D-IV Statistika","3100136","LULUS"
"Provinsi Papua","D-IV Statistika","3103634","LULUS"
"Provinsi Papua","D-IV Statistika","3202502","LULUS"
"Provinsi Papua","D-IV Statistika","3205248","LULUS"
"Provinsi Papua","D-IV Statistika","3300130","LULUS"
"Provinsi Papua","D-IV Statistika","3308961","LULUS"
"Provinsi Papua","D-IV Statistika","3310801","LULUS"
"Provinsi Papua","D-IV Statistika","3310933","LULUS"
"Provinsi Papua","D-IV Statistika","5200643","LULUS"
"Provinsi Papua","D-IV Statistika","7600702","LULUS"
"Provinsi Papua","D-IV Statistika","9100107","LULUS"
"Provinsi Papua","D-IV Statistika","9100604","LULUS"
"Provinsi Papua","D-IV Statistika","9100958","LULUS"
"Provinsi Papua","D-IV Statistika","9200443","LULUS"
"Provinsi Papua Barat (Afirmasi)","D-IV Statistika","9200669","LULUS"
